State,Year,Quarter,Data From,Data To
andaman-&-nicobar-islands,2018,1,1514745000000,1522175400000
andaman-&-nicobar-islands,2018,2,1522521000000,1530124200000
andaman-&-nicobar-islands,2018,3,1530383400000,1538073000000
andaman-&-nicobar-islands,2018,4,1538332200000,1545935400000
andaman-&-nicobar-islands,2019,1,1546281000000,1553711400000
andaman-&-nicobar-islands,2019,2,1554057000000,1561660200000
andaman-&-nicobar-islands,2019,3,1561919400000,1569609000000
andaman-&-nicobar-islands,2019,4,1569868200000,1577471400000
andaman-&-nicobar-islands,2020,1,1577817000000,1585333800000
andaman-&-nicobar-islands,2020,2,1585679400000,1593282600000
andaman-&-nicobar-islands,2020,3,1593541800000,1601231400000
andaman-&-nicobar-islands,2020,4,1601490600000,1609093800000
andaman-&-nicobar-islands,2021,1,1609439400000,1616869800000
andaman-&-nicobar-islands,2021,2,1617215400000,1624818600000
andaman-&-nicobar-islands,2021,3,1625077800000,1632767400000
andaman-&-nicobar-islands,2021,4,1633026600000,1640629800000
andaman-&-nicobar-islands,2022,1,1640975400000,1648405800000
andaman-&-nicobar-islands,2022,2,1648751400000,1656354600000
andaman-&-nicobar-islands,2022,3,1656613800000,1664303400000
andaman-&-nicobar-islands,2022,4,1664562600000,1672165800000
andhra-pradesh,2018,1,1514745000000,1522175400000
andhra-pradesh,2018,2,1522521000000,1530124200000
andhra-pradesh,2018,3,1530383400000,1538073000000
andhra-pradesh,2018,4,1538332200000,1545935400000
andhra-pradesh,2019,1,1546281000000,1553711400000
andhra-pradesh,2019,2,1554057000000,1561660200000
andhra-pradesh,2019,3,1561919400000,1569609000000
andhra-pradesh,2019,4,1569868200000,1577471400000
andhra-pradesh,2020,1,1577817000000,1585333800000
andhra-pradesh,2020,2,1585679400000,1593282600000
andhra-pradesh,2020,3,1593541800000,1601231400000
andhra-pradesh,2020,4,1601490600000,1609093800000
andhra-pradesh,2021,1,1609439400000,1616869800000
andhra-pradesh,2021,2,1617215400000,1624818600000
andhra-pradesh,2021,3,1625077800000,1632767400000
andhra-pradesh,2021,4,1633026600000,1640629800000
andhra-pradesh,2022,1,1640975400000,1648405800000
andhra-pradesh,2022,2,1648751400000,1656354600000
andhra-pradesh,2022,3,1656613800000,1664303400000
andhra-pradesh,2022,4,1664562600000,1672165800000
arunachal-pradesh,2018,1,1514745000000,1522175400000
arunachal-pradesh,2018,2,1522521000000,1530124200000
arunachal-pradesh,2018,3,1530383400000,1538073000000
arunachal-pradesh,2018,4,1538332200000,1545935400000
arunachal-pradesh,2019,1,1546281000000,1553711400000
arunachal-pradesh,2019,2,1554057000000,1561660200000
arunachal-pradesh,2019,3,1561919400000,1569609000000
arunachal-pradesh,2019,4,1569868200000,1577471400000
arunachal-pradesh,2020,1,1577817000000,1585333800000
arunachal-pradesh,2020,2,1585679400000,1593282600000
arunachal-pradesh,2020,3,1593541800000,1601231400000
arunachal-pradesh,2020,4,1601490600000,1609093800000
arunachal-pradesh,2021,1,1609439400000,1616869800000
arunachal-pradesh,2021,2,1617215400000,1624818600000
arunachal-pradesh,2021,3,1625077800000,1632767400000
arunachal-pradesh,2021,4,1633026600000,1640629800000
arunachal-pradesh,2022,1,1640975400000,1648405800000
arunachal-pradesh,2022,2,1648751400000,1656354600000
arunachal-pradesh,2022,3,1656613800000,1664303400000
arunachal-pradesh,2022,4,1664562600000,1672165800000
assam,2018,1,1514745000000,1522175400000
assam,2018,2,1522521000000,1530124200000
assam,2018,3,1530383400000,1538073000000
assam,2018,4,1538332200000,1545935400000
assam,2019,1,1546281000000,1553711400000
assam,2019,2,1554057000000,1561660200000
assam,2019,3,1561919400000,1569609000000
assam,2019,4,1569868200000,1577471400000
assam,2020,1,1577817000000,1585333800000
assam,2020,2,1585679400000,1593282600000
assam,2020,3,1593541800000,1601231400000
assam,2020,4,1601490600000,1609093800000
assam,2021,1,1609439400000,1616869800000
assam,2021,2,1617215400000,1624818600000
assam,2021,3,1625077800000,1632767400000
assam,2021,4,1633026600000,1640629800000
assam,2022,1,1640975400000,1648405800000
assam,2022,2,1648751400000,1656354600000
assam,2022,3,1656613800000,1664303400000
assam,2022,4,1664562600000,1672165800000
bihar,2018,1,1514745000000,1522175400000
bihar,2018,2,1522521000000,1530124200000
bihar,2018,3,1530383400000,1538073000000
bihar,2018,4,1538332200000,1545935400000
bihar,2019,1,1546281000000,1553711400000
bihar,2019,2,1554057000000,1561660200000
bihar,2019,3,1561919400000,1569609000000
bihar,2019,4,1569868200000,1577471400000
bihar,2020,1,1577817000000,1585333800000
bihar,2020,2,1585679400000,1593282600000
bihar,2020,3,1593541800000,1601231400000
bihar,2020,4,1601490600000,1609093800000
bihar,2021,1,1609439400000,1616869800000
bihar,2021,2,1617215400000,1624818600000
bihar,2021,3,1625077800000,1632767400000
bihar,2021,4,1633026600000,1640629800000
bihar,2022,1,1640975400000,1648405800000
bihar,2022,2,1648751400000,1656354600000
bihar,2022,3,1656613800000,1664303400000
bihar,2022,4,1664562600000,1672165800000
chandigarh,2018,1,1514745000000,1522175400000
chandigarh,2018,2,1522521000000,1530124200000
chandigarh,2018,3,1530383400000,1538073000000
chandigarh,2018,4,1538332200000,1545935400000
chandigarh,2019,1,1546281000000,1553711400000
chandigarh,2019,2,1554057000000,1561660200000
chandigarh,2019,3,1561919400000,1569609000000
chandigarh,2019,4,1569868200000,1577471400000
chandigarh,2020,1,1577817000000,1585333800000
chandigarh,2020,2,1585679400000,1593282600000
chandigarh,2020,3,1593541800000,1601231400000
chandigarh,2020,4,1601490600000,1609093800000
chandigarh,2021,1,1609439400000,1616869800000
chandigarh,2021,2,1617215400000,1624818600000
chandigarh,2021,3,1625077800000,1632767400000
chandigarh,2021,4,1633026600000,1640629800000
chandigarh,2022,1,1640975400000,1648405800000
chandigarh,2022,2,1648751400000,1656354600000
chandigarh,2022,3,1656613800000,1664303400000
chandigarh,2022,4,1664562600000,1672165800000
chhattisgarh,2018,1,1514745000000,1522175400000
chhattisgarh,2018,2,1522521000000,1530124200000
chhattisgarh,2018,3,1530383400000,1538073000000
chhattisgarh,2018,4,1538332200000,1545935400000
chhattisgarh,2019,1,1546281000000,1553711400000
chhattisgarh,2019,2,1554057000000,1561660200000
chhattisgarh,2019,3,1561919400000,1569609000000
chhattisgarh,2019,4,1569868200000,1577471400000
chhattisgarh,2020,1,1577817000000,1585333800000
chhattisgarh,2020,2,1585679400000,1593282600000
chhattisgarh,2020,3,1593541800000,1601231400000
chhattisgarh,2020,4,1601490600000,1609093800000
chhattisgarh,2021,1,1609439400000,1616869800000
chhattisgarh,2021,2,1617215400000,1624818600000
chhattisgarh,2021,3,1625077800000,1632767400000
chhattisgarh,2021,4,1633026600000,1640629800000
chhattisgarh,2022,1,1640975400000,1648405800000
chhattisgarh,2022,2,1648751400000,1656354600000
chhattisgarh,2022,3,1656613800000,1664303400000
chhattisgarh,2022,4,1664562600000,1672165800000
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,1514745000000,1522175400000
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,1522521000000,1530124200000
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,1530383400000,1538073000000
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,1538332200000,1545935400000
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,1546281000000,1553711400000
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,1554057000000,1561660200000
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,1561919400000,1569609000000
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,1569868200000,1577471400000
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,1577817000000,1585333800000
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,1585679400000,1593282600000
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,1593541800000,1601231400000
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,1601490600000,1609093800000
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,1609439400000,1616869800000
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,1617215400000,1624818600000
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,1625077800000,1632767400000
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,1633026600000,1640629800000
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,1640975400000,1648405800000
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,1648751400000,1656354600000
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,1656613800000,1664303400000
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,1664562600000,1672165800000
delhi,2018,1,1514745000000,1522175400000
delhi,2018,2,1522521000000,1530124200000
delhi,2018,3,1530383400000,1538073000000
delhi,2018,4,1538332200000,1545935400000
delhi,2019,1,1546281000000,1553711400000
delhi,2019,2,1554057000000,1561660200000
delhi,2019,3,1561919400000,1569609000000
delhi,2019,4,1569868200000,1577471400000
delhi,2020,1,1577817000000,1585333800000
delhi,2020,2,1585679400000,1593282600000
delhi,2020,3,1593541800000,1601231400000
delhi,2020,4,1601490600000,1609093800000
delhi,2021,1,1609439400000,1616869800000
delhi,2021,2,1617215400000,1624818600000
delhi,2021,3,1625077800000,1632767400000
delhi,2021,4,1633026600000,1640629800000
delhi,2022,1,1640975400000,1648405800000
delhi,2022,2,1648751400000,1656354600000
delhi,2022,3,1656613800000,1664303400000
delhi,2022,4,1664562600000,1672165800000
goa,2018,1,1514745000000,1522175400000
goa,2018,2,1522521000000,1530124200000
goa,2018,3,1530383400000,1538073000000
goa,2018,4,1538332200000,1545935400000
goa,2019,1,1546281000000,1553711400000
goa,2019,2,1554057000000,1561660200000
goa,2019,3,1561919400000,1569609000000
goa,2019,4,1569868200000,1577471400000
goa,2020,1,1577817000000,1585333800000
goa,2020,2,1585679400000,1593282600000
goa,2020,3,1593541800000,1601231400000
goa,2020,4,1601490600000,1609093800000
goa,2021,1,1609439400000,1616869800000
goa,2021,2,1617215400000,1624818600000
goa,2021,3,1625077800000,1632767400000
goa,2021,4,1633026600000,1640629800000
goa,2022,1,1640975400000,1648405800000
goa,2022,2,1648751400000,1656354600000
goa,2022,3,1656613800000,1664303400000
goa,2022,4,1664562600000,1672165800000
gujarat,2018,1,1514745000000,1522175400000
gujarat,2018,2,1522521000000,1530124200000
gujarat,2018,3,1530383400000,1538073000000
gujarat,2018,4,1538332200000,1545935400000
gujarat,2019,1,1546281000000,1553711400000
gujarat,2019,2,1554057000000,1561660200000
gujarat,2019,3,1561919400000,1569609000000
gujarat,2019,4,1569868200000,1577471400000
gujarat,2020,1,1577817000000,1585333800000
gujarat,2020,2,1585679400000,1593282600000
gujarat,2020,3,1593541800000,1601231400000
gujarat,2020,4,1601490600000,1609093800000
gujarat,2021,1,1609439400000,1616869800000
gujarat,2021,2,1617215400000,1624818600000
gujarat,2021,3,1625077800000,1632767400000
gujarat,2021,4,1633026600000,1640629800000
gujarat,2022,1,1640975400000,1648405800000
gujarat,2022,2,1648751400000,1656354600000
gujarat,2022,3,1656613800000,1664303400000
gujarat,2022,4,1664562600000,1672165800000
haryana,2018,1,1514745000000,1522175400000
haryana,2018,2,1522521000000,1530124200000
haryana,2018,3,1530383400000,1538073000000
haryana,2018,4,1538332200000,1545935400000
haryana,2019,1,1546281000000,1553711400000
haryana,2019,2,1554057000000,1561660200000
haryana,2019,3,1561919400000,1569609000000
haryana,2019,4,1569868200000,1577471400000
haryana,2020,1,1577817000000,1585333800000
haryana,2020,2,1585679400000,1593282600000
haryana,2020,3,1593541800000,1601231400000
haryana,2020,4,1601490600000,1609093800000
haryana,2021,1,1609439400000,1616869800000
haryana,2021,2,1617215400000,1624818600000
haryana,2021,3,1625077800000,1632767400000
haryana,2021,4,1633026600000,1640629800000
haryana,2022,1,1640975400000,1648405800000
haryana,2022,2,1648751400000,1656354600000
haryana,2022,3,1656613800000,1664303400000
haryana,2022,4,1664562600000,1672165800000
himachal-pradesh,2018,1,1514745000000,1522175400000
himachal-pradesh,2018,2,1522521000000,1530124200000
himachal-pradesh,2018,3,1530383400000,1538073000000
himachal-pradesh,2018,4,1538332200000,1545935400000
himachal-pradesh,2019,1,1546281000000,1553711400000
himachal-pradesh,2019,2,1554057000000,1561660200000
himachal-pradesh,2019,3,1561919400000,1569609000000
himachal-pradesh,2019,4,1569868200000,1577471400000
himachal-pradesh,2020,1,1577817000000,1585333800000
himachal-pradesh,2020,2,1585679400000,1593282600000
himachal-pradesh,2020,3,1593541800000,1601231400000
himachal-pradesh,2020,4,1601490600000,1609093800000
himachal-pradesh,2021,1,1609439400000,1616869800000
himachal-pradesh,2021,2,1617215400000,1624818600000
himachal-pradesh,2021,3,1625077800000,1632767400000
himachal-pradesh,2021,4,1633026600000,1640629800000
himachal-pradesh,2022,1,1640975400000,1648405800000
himachal-pradesh,2022,2,1648751400000,1656354600000
himachal-pradesh,2022,3,1656613800000,1664303400000
himachal-pradesh,2022,4,1664562600000,1672165800000
jammu-&-kashmir,2018,1,1514745000000,1522175400000
jammu-&-kashmir,2018,2,1522521000000,1530124200000
jammu-&-kashmir,2018,3,1530383400000,1538073000000
jammu-&-kashmir,2018,4,1538332200000,1545935400000
jammu-&-kashmir,2019,1,1546281000000,1553711400000
jammu-&-kashmir,2019,2,1554057000000,1561660200000
jammu-&-kashmir,2019,3,1561919400000,1569609000000
jammu-&-kashmir,2019,4,1569868200000,1577471400000
jammu-&-kashmir,2020,1,1577817000000,1585333800000
jammu-&-kashmir,2020,2,1585679400000,1593282600000
jammu-&-kashmir,2020,3,1593541800000,1601231400000
jammu-&-kashmir,2020,4,1601490600000,1609093800000
jammu-&-kashmir,2021,1,1609439400000,1616869800000
jammu-&-kashmir,2021,2,1617215400000,1624818600000
jammu-&-kashmir,2021,3,1625077800000,1632767400000
jammu-&-kashmir,2021,4,1633026600000,1640629800000
jammu-&-kashmir,2022,1,1640975400000,1648405800000
jammu-&-kashmir,2022,2,1648751400000,1656354600000
jammu-&-kashmir,2022,3,1656613800000,1664303400000
jammu-&-kashmir,2022,4,1664562600000,1672165800000
jharkhand,2018,1,1514745000000,1522175400000
jharkhand,2018,2,1522521000000,1530124200000
jharkhand,2018,3,1530383400000,1538073000000
jharkhand,2018,4,1538332200000,1545935400000
jharkhand,2019,1,1546281000000,1553711400000
jharkhand,2019,2,1554057000000,1561660200000
jharkhand,2019,3,1561919400000,1569609000000
jharkhand,2019,4,1569868200000,1577471400000
jharkhand,2020,1,1577817000000,1585333800000
jharkhand,2020,2,1585679400000,1593282600000
jharkhand,2020,3,1593541800000,1601231400000
jharkhand,2020,4,1601490600000,1609093800000
jharkhand,2021,1,1609439400000,1616869800000
jharkhand,2021,2,1617215400000,1624818600000
jharkhand,2021,3,1625077800000,1632767400000
jharkhand,2021,4,1633026600000,1640629800000
jharkhand,2022,1,1640975400000,1648405800000
jharkhand,2022,2,1648751400000,1656354600000
jharkhand,2022,3,1656613800000,1664303400000
jharkhand,2022,4,1664562600000,1672165800000
karnataka,2018,1,1514745000000,1522175400000
karnataka,2018,2,1522521000000,1530124200000
karnataka,2018,3,1530383400000,1538073000000
karnataka,2018,4,1538332200000,1545935400000
karnataka,2019,1,1546281000000,1553711400000
karnataka,2019,2,1554057000000,1561660200000
karnataka,2019,3,1561919400000,1569609000000
karnataka,2019,4,1569868200000,1577471400000
karnataka,2020,1,1577817000000,1585333800000
karnataka,2020,2,1585679400000,1593282600000
karnataka,2020,3,1593541800000,1601231400000
karnataka,2020,4,1601490600000,1609093800000
karnataka,2021,1,1609439400000,1616869800000
karnataka,2021,2,1617215400000,1624818600000
karnataka,2021,3,1625077800000,1632767400000
karnataka,2021,4,1633026600000,1640629800000
karnataka,2022,1,1640975400000,1648405800000
karnataka,2022,2,1648751400000,1656354600000
karnataka,2022,3,1656613800000,1664303400000
karnataka,2022,4,1664562600000,1672165800000
kerala,2018,1,1514745000000,1522175400000
kerala,2018,2,1522521000000,1530124200000
kerala,2018,3,1530383400000,1538073000000
kerala,2018,4,1538332200000,1545935400000
kerala,2019,1,1546281000000,1553711400000
kerala,2019,2,1554057000000,1561660200000
kerala,2019,3,1561919400000,1569609000000
kerala,2019,4,1569868200000,1577471400000
kerala,2020,1,1577817000000,1585333800000
kerala,2020,2,1585679400000,1593282600000
kerala,2020,3,1593541800000,1601231400000
kerala,2020,4,1601490600000,1609093800000
kerala,2021,1,1609439400000,1616869800000
kerala,2021,2,1617215400000,1624818600000
kerala,2021,3,1625077800000,1632767400000
kerala,2021,4,1633026600000,1640629800000
kerala,2022,1,1640975400000,1648405800000
kerala,2022,2,1648751400000,1656354600000
kerala,2022,3,1656613800000,1664303400000
kerala,2022,4,1664562600000,1672165800000
ladakh,2018,1,1514745000000,1522175400000
ladakh,2018,2,1522521000000,1530124200000
ladakh,2018,3,1530383400000,1538073000000
ladakh,2018,4,1538332200000,1545935400000
ladakh,2019,1,1546281000000,1553711400000
ladakh,2019,2,1554057000000,1561660200000
ladakh,2019,3,1561919400000,1569609000000
ladakh,2019,4,1569868200000,1577471400000
ladakh,2020,1,1577817000000,1585333800000
ladakh,2020,2,1585679400000,1593282600000
